id,name,description,kind,images,level,repository,emphasis
1,Wolfy(em desevolvimento),"Wolfy é um aplicativo player de música que pretende funcionar com links de vídeos do YouTube, feito em Ionic e utilizando o Firebase.","web","[""https://github.com/portfolio-projetos-dev/kino/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/kino/raw/main/.gitassets/2.jpg"",""https://github.com/portfolio-projetos-dev/kino/raw/main/.gitassets/3.jpg"",""https://github.com/portfolio-projetos-dev/kino/raw/main/.gitassets/4.jpg""]",2,https://github.com/elian-r-ribeiro/wolfy,true
2,SAO RPG System (em desevolvimento),"Há um tempo atrás me veio a ideia de criar um sistema de RPG por conta própria. Esse aplicativo está sendo desenvolvido para satisfazer as nescessidades desse sistema e poder ser utilizado durante as sessões, feito em Ionic e utilizando o Firebase.","web","[""https://github.com/portfolio-projetos-dev/poupig/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/poupig/raw/main/.gitassets/2.jpg""]",4,https://github.com/elian-r-ribeiro/saorpgsystem,true
3,Concord,"O Concord é um aplicativo cujo nome é uma espécie de paródia do Discord. Atualmente é um aplicativo apenas de troca de mensagem, mas que pretendo melhorar no futuro, feito em Ionic e utilizando o Firebase.","web","[""https://github.com/portfolio-projetos-dev/convit3-digital/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/convit3-digital/raw/main/.gitassets/2.jpg"",""https://github.com/portfolio-projetos-dev/convit3-digital/raw/main/.gitassets/3.jpg"",""https://github.com/portfolio-projetos-dev/convit3-digital/raw/main/.gitassets/4.jpg""]",3,https://github.com/elian-r-ribeiro/concord,true
4,E-Vent,"O E-vent é um aplicativo de criação, gerenciamento e participação de eventos, com gerador de relatório, feito em Ionic e utilizando o Firebase.","web","[""https://github.com/portfolio-projetos-dev/gam3r-store/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/gam3r-store/raw/main/.gitassets/2.jpg"",""https://github.com/portfolio-projetos-dev/gam3r-store/raw/main/.gitassets/3.jpg"",""https://github.com/portfolio-projetos-dev/gam3r-store/raw/main/.gitassets/4.jpg""]",3,https://github.com/elian-r-ribeiro/e-vent,true
5,Minesweeper,"Um campo minado feito no consolo usando JAVA.","JAVA","[""https://github.com/portfolio-projetos-dev/barba-brutal/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/barba-brutal/raw/main/.gitassets/2.jpg""]",3,https://github.com/portfolio-projetos-dev/barba-brutal,true
6,Finances,"O Finances é um site feito em Angular para um projeto da faculdade que permite controlar suas próprias finanças de forma organizada.","web","[""https://github.com/portfolio-projetos-dev/ordem-livros/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/ordem-livros/raw/main/.gitassets/2.jpg""]",2,https://github.com/elian-r-ribeiro/financeswebsite,false
7,Contacts List,"Nosso primeiro projeto em Ionic e utilizando o Firebase na faculdade. Uma lista simples de contatos com banco de dados.","web","[""https://github.com/portfolio-projetos-dev/monty-hall/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/monty-hall/raw/main/.gitassets/2.jpg""]",2,https://github.com/elian-r-ribeiro/contact-list,false
8,PC Parts List,"Um trabalho da faculdade baseado na lista de contatos, mas, com partes de computador, feito em Ionic e utilizando o Firebase.","web","[""https://github.com/portfolio-projetos-dev/matador-monstros/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/matador-monstros/raw/main/.gitassets/2.jpg"",""https://github.com/portfolio-projetos-dev/matador-monstros/raw/main/.gitassets/3.jpg""]",2,https://github.com/elian-r-ribeiro/pc-parts-list,false
9,College Management,"Feito como um projeto da faculdade, é um site de gerenciamento de funcionários de uma faculdade, utilizando Laravel","web","[""https://github.com/portfolio-projetos-dev/flappy-bird/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/flappy-bird/raw/main/.gitassets/2.jpg"",""https://github.com/portfolio-projetos-dev/flappy-bird/raw/main/.gitassets/3.jpg""]",2,https://github.com/elian-r-ribeiro/collegemanagementproject,false
10,Geolocation Getter,"Um aplicativo simples feito para obter a geolocalização do usuário através do GPS do celular, feito em Ionic.","web","[""https://github.com/portfolio-projetos-dev/jogo-da-velha/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/jogo-da-velha/raw/main/.gitassets/2.jpg""]",2,https://github.com/elian-r-ribeiro/GeolocationGetterApp,false